Date,Title,Description,Category,Focus Area,Mode,Organizer,Sentiment,Month,Year,Upcoming/Past
11/13/2024,Digital Health Incentive Scheme Webinar,Webinar introducing DHIS benefits and participation process.,Webinar,DHIS,Online,NHA,Positive,November,2024,Past
8/5/2025,AIIMS Clinical Decision Support System (CDSS) Webinar,Webinar on AIIMS CDSS supported by NHA.,Webinar,CDSS,Online,AIIMS & NHA,Positive,August,2025,Past
8/7/2025,Webinar on National Health Claims Exchange (NHCX),Webinar conducted on National Health Claims Exchange by ABDM team.,Webinar,NHCX,Online,NHA,Positive,August,2025,Past
9/11/2025,State Master Trainers Training on ABDM,Training session for state master trainers on ABDM tools.,Training,ABDM Implementation,Offline,State Health Dept.,Positive,September,2025,Past
9/12/2025,Digital Health Innovations in India - ABDM Webinar,Showcasing pioneering innovations in ABDM implementation.,Webinar,Innovation,Online,NHA,Positive,September,2025,Past
9/25/2025,Capacity Building Workshop-cum-Training on ABDM,Workshop for Ayushman Bharat Digital Mission awareness and capacity building.,Workshop,Capacity Building,Hybrid,NHA,Positive,September,2025,Past
10/13/2025,Webinar on Digital Health Incentive Scheme,Discussion on digital health incentives for hospitals and clinics.,Webinar,DHIS,Online,NHA,Positive,October,2025,Past
10/20/2025,ABDM Hackathon 2025 – Building HealthTech Apps,National-level hackathon on ABDM APIs and data integration.,Hackathon,HealthTech Innovation,Hybrid,MeitY & NHA,Positive,October,2025,Past
10/27/2025,Peer-learning Webinar – StateXchange Bhopal,Cross-learning webinar showcasing innovations from Bhopal region.,Webinar,StateXchange,Online,State Health Mission,Positive,October,2025,Past
11/5/2025,ABDM Awareness Drive for Startups,Awareness session for digital health startups under ABDM Sandbox.,Awareness,Startups,Offline,Startup India & NHA,Positive,November,2025,Upcoming
11/10/2025,National ABDM Partner Meet,Annual meeting with healthcare partners and digital integrators.,Meeting,Partnership,Offline,NHA,Positive,November,2025,Upcoming
11/18/2025,Digital Health Data Security Workshop,"Workshop on data privacy, security, and ABDM compliance.",Workshop,Data Security,Offline,CERT-In & NHA,Neutral,November,2025,Upcoming
11/22/2025,National Health Innovation Summit,Presentation of ABDM-integrated health innovations and startups.,Summit,Innovation,Hybrid,NHA & NeGD,Positive,November,2025,Upcoming
11/25/2025,Upcoming ABDM Workshop Event,3-day event on digital health and implementation strategies.,Workshop,ABDM,Hybrid,NHA,Positive,November,2025,Upcoming
12/10/2025,ABDM Regional Training – South India,Training for healthcare IT professionals on ABDM modules.,Training,ABDM Implementation,Offline,NHA & NIC,Positive,December,2025,Upcoming
